id,slug,category,brand,name,old_image,new_image,score,source_url,reason,provider
SAGVP70K,saga-a-breton-34-44-violin-shoulder-rest,strings,Saga,Saga A Breton 3/4 4/4 Violin Shoulder Rest,/products/strings/gc-violin-44.webp,/products/strings/saga-a-breton-34-44-violin-shoulder-rest.webp,80,https://sfile.chatglm.cn/images-ppt/690d34811927.webp,"The image shows a violin shoulder rest matching the product description, but the brand 'Saga' is not visible to confirm. | shown=Violin shoulder rest",z-ai
RESKG443GD,dixon-bass-guitar-machine-heads-gold-4set,guitars,Dixon,Dixon Bass Guitar Machine Heads Gold 4Set,/products/drums/remo-coloured-heads.webp,/products/guitars/dixon-bass-guitar-machine-heads-gold-4set.webp,70,https://sfile.chatglm.cn/images-ppt/002c937861cc.jpg,"The product matches the type and color of bass guitar machine heads, but the brand 'Dixon' is not visible in the image. | shown=Gold-colored bass guitar machine heads with screws",z-ai
PDP38,dixon-8-practise-pad-natural-rebound,accessories,Dixon Drums,Dixon 8  Practise Pad Natural Rebound,/products/drums/dixon-star-bubinga.webp,/products/accessories/dixon-8-practise-pad-natural-rebound.webp,70,https://sfile.chatglm.cn/images-ppt/1724bc6c7148.jpg,"The product appears to be a practice pad matching the description, but the brand is not clearly visible to confirm it is Dixon Drums. | shown=A circular practice pad with a black rim, gray surface, an",z-ai
PHT120MSBKDIX,dixon-20-mesh-drum-head,drums,Dixon Drums,Dixon 20  Mesh Drum Head,/products/drums/remo-coloured-heads.webp,/products/drums/dixon-20-mesh-drum-head.webp,70,https://sfile.chatglm.cn/images-ppt/3f0f58aa76e5.jpg,"The image shows a mesh drum head that matches the product description, but the brand logo is not clearly identifiable as Dixon Drums. | shown=A black drum head with a white geometric logo",z-ai
PHT122MSBKDIX,dixon-22-mesh-drum-head,drums,Dixon Drums,Dixon 22  Mesh Drum Head,/products/drums/remo-coloured-heads.webp,/products/drums/dixon-22-mesh-drum-head.webp,70,https://sfile.chatglm.cn/images-ppt/c06e9709e96b.jpg,"The image shows mesh drum heads matching the product type, but the brand 'Dixon Drums' is not clearly visible to confirm. | shown=Multiple overlapping circular mesh drum heads with metallic ",z-ai
PKS3140HP,dixon-14-power-sanre-hoop-10-hole,accessories,Dixon Drums,Dixon 14  Power Sanre Hoop 10 Hole,/products/drums/dixon-star-bubinga.webp,/products/accessories/dixon-14-power-sanre-hoop-10-hole.webp,80,https://sfile.chatglm.cn/images-ppt/8c7517baa25a.jpg,"The image shows a 14-inch snare drum hoop with 10 lug holes matching the product description, but the brand 'Dixon Drums' is not visible or confirmed in the image. | shown=A 14-inch snare drum hoop wi",z-ai
PKT3106HP,dixon-10-hoop-6-hole,accessories,Dixon Drums,Dixon 10  Hoop 6 Hole,/products/drums/dixon-star-bubinga.webp,/products/accessories/dixon-10-hoop-6-hole.webp,70,https://sfile.chatglm.cn/images-ppt/3879e7e98470.jpg,"The image shows a drum hoop that matches the product description, but the brand 'Dixon Drums' is not visible or confirmed in the image. | shown=A chrome drum hoop",z-ai
PKT3126HP,dixon-12-power-hoop-6-hole,accessories,Dixon Drums,Dixon 12  Power Hoop 6 Hole,/products/drums/dixon-star-bubinga.webp,/products/accessories/dixon-12-power-hoop-6-hole.webp,70,https://sfile.chatglm.cn/images-ppt/31699d131603.jpg,"The image shows a 6-hole drum hoop matching the product description, but no visible branding confirms Dixon Drums. | shown=A chrome drum hoop with 6 holes",z-ai
PKT3140HP,dixon-14-power-hoop-10-hole,accessories,Dixon Drums,Dixon 14  Power Hoop 10 Hole,/products/drums/dixon-star-bubinga.webp,/products/accessories/dixon-14-power-hoop-10-hole.webp,70,https://sfile.chatglm.cn/images-ppt/e2d04103a26e.jpg,"The image shows a drum hoop matching the 'Dixon 14 Power Hoop 10 Hole' product type, but the brand 'Dixon Drums' is not clearly visible. | shown=A chrome drum hoop with lugs and a central clamp",z-ai
PKT3148HP,dixon-14-power-hoop-8-hole,accessories,Dixon Drums,Dixon 14  Power Hoop 8 Hole,/products/drums/dixon-star-bubinga.webp,/products/accessories/dixon-14-power-hoop-8-hole.webp,70,https://sfile.chatglm.cn/images-ppt/77aafc359497.jpg,"The product is a 14-inch 8-hole drum hoop matching the description, but the brand 'Dixon Drums' is not visible in the image. | shown=A chrome drum hoop with 8 holes",z-ai
PKT3168HP,dixon-16-power-hoop-8-hole,accessories,Dixon Drums,Dixon 16  Power Hoop 8 Hole,/products/drums/dixon-star-bubinga.webp,/products/accessories/dixon-16-power-hoop-8-hole.webp,70,https://sfile.chatglm.cn/images-ppt/77aafc359497.jpg,"The image shows a drum hoop matching the 'Dixon 16 Power Hoop 8 Hole' product description, but the brand is not visible in the image. | shown=A chrome drum hoop with 8 mounting holes",z-ai
PSYK900I,dixon-invisible-arm-cym-boom-stand,accessories,Dixon Drums,Dixon Invisible Arm Cym Boom Stand,/products/drums/dixon-star-bubinga.webp,/products/accessories/dixon-invisible-arm-cym-boom-stand.webp,75,https://sfile.chatglm.cn/images-ppt/18ca2a90b8d7.jpg,"The product matches the description of a cymbal boom stand but the brand 'Dixon Drums' is not visible in the image. | shown=A cymbal boom arm stand with a metal construction, adjustabl",z-ai
PSYP1I,dixon-p1-series-cymbal-boom-stand,drums,Dixon Drums,Dixon P1 Series Cymbal Boom Stand,/products/drums/dixon-star-bubinga.webp,/products/drums/dixon-p1-series-cymbal-boom-stand.webp,70,https://sfile.chatglm.cn/images-ppt/a732e71aed5f.jpg,"The image shows a cymbal boom stand matching the product type, but the brand 'Dixon Drums' is not visible to confirm. | shown=A chrome-plated cymbal boom stand",z-ai
PSYV-T2-HP,dixon-cymbal-sleeve-4pcs-2,drums,Dixon Drums,Dixon Cymbal Sleeve 4Pcs,/products/drums/dixon-star-bubinga.webp,/products/drums/dixon-cymbal-sleeve-4pcs-2.webp,70,https://sfile.chatglm.cn/images-ppt/942d60543110.jpg,"The image shows cymbal sleeves (4 felt pads) matching the product description, but the brand 'Dixon Drums' is not visible, so brand match is unclear. | shown=4 felt cymbal sleeves, 4 metal washers, 2 ",z-ai
EL13010,elixir-010-single-steel-string,accessories,Elixir,Elixir 010 Single Steel String,/products/accessories/mic-stand.webp,/products/accessories/elixir-010-single-steel-string.webp,70,https://sfile.chatglm.cn/images-ppt/82a5c91a382d.jpg,"Brand matches Elixir, but the image shows electric guitar strings with Optiweb coating, not specifically the 010 single steel string product. | shown=Elixir electric guitar strings with Optiweb coatin",z-ai
EL13012,elixir-012-single-steel-string,accessories,Elixir,Elixir 012 Single Steel String,/products/accessories/mic-stand.webp,/products/accessories/elixir-012-single-steel-string.webp,70,https://sfile.chatglm.cn/images-ppt/62ed0d4067de.jpg,"The image shows an Elixir steel string, but the specific product is labeled as 'Anti-Rust Plain Steel String .010' rather than 'Elixir 012 Single Steel String'. | shown=Elixir Anti-Rust Plain Steel St",z-ai
EL13022,elixir-022-single-steel-string,accessories,Elixir,Elixir 022 Single Steel String,/products/accessories/mic-stand.webp,/products/accessories/elixir-022-single-steel-string.webp,60,https://sfile.chatglm.cn/images-ppt/299a399d070e.jpg,"The image shows Elixir electric guitar strings, but the gauge (10-46) and type (electric, nickel plated) do not match the specified 'Elixir 022 Single Steel String' product. | shown=Elixir electric gu",z-ai
EL15332,elixir-nw-032-med-single-bass-string,accessories,Elixir,Elixir Nw 0.32 Med. Single Bass String,/products/guitars/cort-action-bass-v-plus.webp,/products/accessories/elixir-nw-032-med-single-bass-string.webp,60,https://sfile.chatglm.cn/images-ppt/cbbf2b5b5eb8.png,"The image shows a bass guitar with Elixir branding, but the specific product (Nw 0.32 Med. Single Bass String) is not clearly visible or labeled. | shown=Elixir Strings (bass guitar strings)",z-ai
EL16546,elixir-acoustic-phos-nw-med-13-56-3-pack,accessories,Elixir,Elixir Acoustic Phos Nw Med 13-56 3 Pack,/products/guitars/cort-grs-ga1e-acoustic.webp,/products/accessories/elixir-acoustic-phos-nw-med-13-56-3-pack.webp,60,https://sfile.chatglm.cn/images-ppt/199f94e71fa0.png,The image shows Elixir strings but does not confirm the specific product 'Elixir Acoustic Phos Nw Med 13-56 3 Pack'. | shown=Elixir acoustic guitar strings,z-ai
EL19007,elixir-electric-nickel-7str-009-sup-lt,accessories,Elixir,Elixir Electric Nickel 7Str 009 Sup Lt,/products/guitars/ibanez-iegs62-electric.webp,/products/accessories/elixir-electric-nickel-7str-009-sup-lt.webp,70,https://sfile.chatglm.cn/images-ppt/466a2239eec2.png,Image confirms Elixir brand but does not specify the exact 'Electric Nickel 7Str 009 Sup Lt' product model. | shown=Elixir electric guitar strings (general product shown via te,z-ai
GCKC1540,gator-keyboard-cover-small-stretch,keyboards,Gator,Gator Keyboard Cover Small Stretch,/products/accessories/keyboard-stand.webp,/products/keyboards/gator-keyboard-cover-small-stretch.webp,80,https://sfile.chatglm.cn/images-ppt/72decf73401f.jpg,"The image shows a stretch keyboard cover matching the product type, but the brand is not visible to confirm it's Gator. | shown=Black stretch keyboard cover on a keyboard",z-ai
REG3GCP,gibraltar-new-chain-cajon-pedal,drums,Gibraltar,Gibraltar New Chain Cajon Pedal,/products/drums/roland-td17kv2.webp,/products/drums/gibraltar-new-chain-cajon-pedal.webp,60,https://sfile.chatglm.cn/images-ppt/8aa81914ed40.png,"The image shows a Gibraltar drum pedal, but it is not the specific 'New Chain Cajon Pedal' (likely a bass drum pedal instead). | shown=A drum pedal with a footboard, beater, and chain mechanism",z-ai
